timestep,direkt_horizontal_W_m2,diffuse_horizontal_W_m2,temp_amb,global_horizontal_W_m2
1,0,0,13.46,0
2,0,0,13.48,0
3,0,0,13.43,0
4,0,0,13.12,0
5,0,0,12.74,0
6,0,0,12.49,0
7,0,0,12.25,0
8,0,4.59,11.89,4.59
9,0,31.64,11.72,31.64
10,0,59.62,12.16,59.62
11,2.75,80.56,12.62,83.31
12,7.9,56.9,12.83,64.8
13,33.05,93.97,12.46,127.02
14,33.77,73.67,12.59,107.44
15,20.03,30.72,12.38,50.75
16,0,0,11.76,0
17,0,0,11.07,0
18,0,0,10.57,0
19,0,0,10.47,0
20,0,0,10.71,0
21,0,0,10.07,0
22,0,0,9.26,0
23,0,0,9.37,0
24,0,0,10.16,0
25,0,0,11.01,0
26,0,0,11.53,0
27,0,0,11.62,0
28,0,0,11.4,0
29,0,0,11.19,0
30,0,0,10.9,0
31,0,0,10.76,0
32,0,4.15,11.8,4.15
33,0,29.35,11.42,29.35
34,0,49.02,11.67,49.02
35,8.77,76,12,84.77
36,15.66,79.8,11.59,95.46
37,53.46,91.1,11.36,144.56
38,45.6,76.13,11.56,121.73
39,70.51,33.26,11.21,103.77
40,0,0,10.39,0
41,0,0,9.73,0
42,0,0,9.31,0
43,0,0,8.85,0
44,0,0,8.62,0
45,0,0,8.38,0
46,0,0,8,0
47,0,0,7.5,0
48,0,0,6.88,0
49,0,0,6.58,0
50,0,0,6.51,0
51,0,0,6.49,0
52,0,0,6.32,0
53,0,0,6.21,0
54,0,0,6.09,0
55,0,0,5.96,0
56,0,2.66,5.71,2.66
57,0,29.83,5.63,29.83
58,0,53.54,5.79,53.54
59,12.96,55.84,6.08,68.8
60,67.58,81.59,6.26,149.17
61,48.97,93.17,6.78,142.14
62,48.41,72.38,7.21,120.79
63,35.97,30.74,7.3,66.71
64,0,0,6.85,0
65,0,0,6.29,0
66,0,0,6.24,0
67,0,0,6.28,0
68,0,0,5.38,0
69,0,0,4.87,0
70,0,0,4.66,0
71,0,0,4.82,0
72,0,0,4.85,0
73,0,0,5.05,0
74,0,0,4.93,0
75,0,0,5.28,0
76,0,0,5.43,0
77,0,0,5.43,0
78,0,0,5.52,0
79,0,0,5.78,0
80,0,1.37,5.57,1.37
81,0,13.09,5.73,13.09
82,0,20.09,6.19,20.09
83,0.01,35.5,6.78,35.51
84,0,27.35,7.48,27.35
85,1.86,36.81,7.73,38.67
86,0.65,12.78,8.19,13.43
87,0,4.89,8.46,4.89
88,0,0,8.8,0
89,0,0,9.07,0
90,0,0,9.27,0
91,0,0,9.41,0
92,0,0,9.3,0
93,0,0,9.49,0
94,0,0,9.34,0
95,0,0,8.78,0
96,0,0,8.56,0
97,0,0,8.41,0
98,0,0,8.56,0
99,0,0,8.23,0
100,0,0,8.11,0
101,0,0,8.17,0
102,0,0,8.25,0
103,0,0,8.08,0
104,0,2.7,8.01,2.7
105,0,22.9,7.86,22.9
106,0,44.72,7.97,44.72
107,1.39,46.33,8.35,47.72
108,17.65,63.56,8.61,81.21
109,72.3,78.24,8.84,150.54
110,82.75,50.2,8.75,132.95
111,61.58,25.18,8.38,86.76
112,0,0,8.1,0
113,0,0,7.72,0
114,0,0,7.64,0
115,0,0,7.55,0
116,0,0,7.54,0
117,0,0,7.47,0
118,0,0,7.5,0
119,0,0,7.5,0
120,0,0,7.45,0
121,0,0,7.44,0
122,0,0,7.49,0
123,0,0,7.6,0
124,0,0,7.83,0
125,0,0,8.04,0
126,0,0,8.23,0
127,0,0,8.29,0
128,0,1.16,8.64,1.16
129,0,7.8,8.85,7.8
130,0,32.85,9.09,32.85
131,0.32,64.13,9.17,64.45
132,8.12,43.76,9.3,51.88
133,3,31.32,9.25,34.32
134,0.63,27.98,9.18,28.61
135,6.38,14.89,9.3,21.27
136,0,0,9.11,0
137,0,0,8.84,0
138,0,0,8.36,0
139,0,0,8.17,0
140,0,0,8.4,0
141,0,0,8.28,0
142,0,0,8.19,0
143,0,0,8.11,0
144,0,0,8.16,0
145,0,0,8.24,0
146,0,0,7.84,0
147,0,0,7.95,0
148,0,0,7.75,0
149,0,0,7.65,0
150,0,0,7.56,0
151,0,0,7.44,0
152,0,5.35,7.03,5.35
153,0,39.01,6.8,39.01
154,0,55.19,7.25,55.19
155,7.62,87.96,8.14,95.58
156,63.56,85.41,8.72,148.97
157,89.68,81.58,9.3,171.26
158,112.51,52.92,9.39,165.43
159,49.21,28.43,9.17,77.64
160,0,0,8.45,0
161,0,0,7.2,0
162,0,0,6.49,0
163,0,0,5.95,0
164,0,0,6.88,0
165,0,0,6.85,0
166,0,0,6.38,0
167,0,0,6.27,0
168,0,0,6.51,0
169,0,0,6.48,0
170,0,0,6.55,0
171,0,0,6.29,0
172,0,0,6.14,0
173,0,0,6,0
174,0,0,5.96,0
175,0,0,6.04,0
176,0,1.57,6.6,1.57
177,0,7.57,6.82,7.57
178,0,15.54,7.14,15.54
179,0.04,53.08,7.43,53.12
180,0.97,51.84,7.97,52.81
181,3.75,47.88,8.26,51.63
182,0.5,35.3,8.45,35.8
183,7.72,21.34,8.38,29.06
184,0,0,8.27,0
185,0,0,7.73,0
186,0,0,7.37,0
187,0,0,7.11,0
188,0,0,6.68,0
189,0,0,6.39,0
190,0,0,6.09,0
191,0,0,5.67,0
192,0,0,4.95,0
193,0,0,4.11,0
194,0,0,4.41,0
195,0,0,4.83,0
196,0,0,5.01,0
197,0,0,5.22,0
198,0,0,5.06,0
199,0,0,5.12,0
200,0,3.1,6.16,3.1
201,0,29.03,5.96,29.03
202,0,65.77,5.74,65.77
203,6.54,83.79,5.83,90.33
204,34.56,94.26,6.16,128.82
205,84.04,80.11,6.4,164.15
206,91.49,74.41,6.67,165.9
207,70.94,34.02,6.72,104.96
208,0,0,6.18,0
209,0,0,5.72,0
210,0,0,5.4,0
211,0,0,5.25,0
212,0,0,5.5,0
213,0,0,5.41,0
214,0,0,5.05,0
215,0,0,4.57,0
216,0,0,4.35,0
217,0,0,4.24,0
218,0,0,4.19,0
219,0,0,4.19,0
220,0,0,4.2,0
221,0,0,4.36,0
222,0,0,4.35,0
