timestep,temperature
1,13.46
2,13.48
3,13.43
4,13.12
5,12.74
6,12.49
7,12.25
8,11.89
9,11.72
10,12.16
11,12.62
12,12.83
13,12.46
14,12.59
15,12.38
16,11.76
17,11.07
18,10.57
19,10.47
20,10.71
21,10.07
22,9.26
23,9.37
24,10.16
25,11.01
26,11.53
27,11.62
28,11.4
29,11.19
30,10.9
31,10.76
32,11.8
33,11.42
34,11.67
35,12
36,11.59
37,11.36
38,11.56
39,11.21
40,10.39
41,9.73
42,9.31
43,8.85
44,8.62
45,8.38
46,8
47,7.5
48,6.88
49,6.58
50,6.51
51,6.49
52,6.32
53,6.21
54,6.09
55,5.96
56,5.71
57,5.63
58,5.79
59,6.08
60,6.26
61,6.78
62,7.21
63,7.3
64,6.85
65,6.29
66,6.24
67,6.28
68,5.38
69,4.87
70,4.66
71,4.82
72,4.85
73,5.05
74,4.93
75,5.28
76,5.43
77,5.43
78,5.52
79,5.78
80,5.57
81,5.73
82,6.19
83,6.78
84,7.48
85,7.73
86,8.19
87,8.46
88,8.8
89,9.07
90,9.27
91,9.41
92,9.3
93,9.49
94,9.34
95,8.78
96,8.56
97,8.41
98,8.56
99,8.23
100,8.11
101,8.17
102,8.25
103,8.08
104,8.01
105,7.86
106,7.97
107,8.35
108,8.61
109,8.84
110,8.75
111,8.38
112,8.1
113,7.72
114,7.64
115,7.55
116,7.54
117,7.47
118,7.5
119,7.5
120,7.45
121,7.44
122,7.49
123,7.6
124,7.83
125,8.04
126,8.23
127,8.29
128,8.64
129,8.85
130,9.09
131,9.17
132,9.3
133,9.25
134,9.18
135,9.3
136,9.11
137,8.84
138,8.36
139,8.17
140,8.4
141,8.28
142,8.19
143,8.11
144,8.16
145,8.24
146,7.84
147,7.95
148,7.75
149,7.65
150,7.56
151,7.44
152,7.03
153,6.8
154,7.25
155,8.14
156,8.72
157,9.3
158,9.39
159,9.17
160,8.45
161,7.2
162,6.49
163,5.95
164,6.88
165,6.85
166,6.38
167,6.27
168,6.51
169,6.48
170,6.55
171,6.29
172,6.14
173,6
174,5.96
175,6.04
176,6.6
177,6.82
178,7.14
179,7.43
180,7.97
181,8.26
182,8.45
183,8.38
184,8.27
185,7.73
186,7.37
187,7.11
188,6.68
189,6.39
190,6.09
191,5.67
192,4.95
193,4.11
194,4.41
195,4.83
196,5.01
197,5.22
198,5.06
199,5.12
200,6.16
201,5.96
202,5.74
203,5.83
204,6.16
205,6.4
206,6.67
207,6.72
208,6.18
209,5.72
210,5.4
211,5.25
212,5.5
213,5.41
214,5.05
215,4.57
216,4.35
217,4.24
218,4.19
219,4.19
220,4.2
221,4.36
222,4.35
223,4.3
224,4.33
225,4.4
226,4.63
227,4.93
228,5.32
229,5.53
230,5.52
231,5.59
232,5
233,4.22
234,3.95
235,3.75
236,3.84
237,3.91
238,4.08
239,4.07
240,4.02
241,4.05
242,3.98
243,4.29
244,4.75
245,5.25
246,5.76
247,6.34
248,6.16
249,6.67
250,7.08
251,7.46
252,7.8
253,8.01
254,8.08
255,8.1
256,7.85
257,7.23
258,6.41
259,5.86
260,5.94
261,5.63
262,5.29
263,5.16
264,4.81
265,4.73
266,5.01
267,5.46
268,5.55
269,5.9
270,6.06
271,6.24
272,6.71
273,6.74
274,6.71
275,6.67
276,6.76
277,7
278,7.35
279,7.61
280,7.78
281,7.88
282,7.94
283,7.96
284,8.08
285,8.13
286,8.19
287,8.23
288,8.24
289,8.21
290,8.32
291,8.38
292,8.45
293,8.53
294,8.22
295,7.99
296,7.88
297,7.68
298,7.54
299,7.6
300,7.82
301,7.93
302,7.76
303,7.41
304,6.81
305,6.18
306,6.16
307,6.2
308,5.71
309,5.24
310,5.3
311,5.51
312,5.47
313,5.52
314,5.16
315,5.13
316,5.04
317,5
318,4.92
319,4.75
320,4.13
321,4.05
322,4.51
323,5.18
324,5.91
325,6.11
326,6.09
327,6.18
328,6.48
329,6.86
330,7.14
331,7.41
332,7.42
333,7.59
334,7.86
335,8.19
336,8.62
337,8.89
338,9.02
339,8.92
340,8.33
341,6.81
342,5.55
343,4.79
344,4.76
345,4.66
346,4.74
347,4.9
348,4.99
349,5.05
350,5.13
351,5.26
352,5.02
353,4.47
354,4.22
355,3.93
356,3.86
357,3.68
358,3.42
359,3.15
360,2.91
361,2.73
362,2.47
363,2.24
364,2.25
365,2.14
366,2.13
367,1.84
368,1.62
369,2.13
370,2.69
371,3.33
372,4.12
373,4.65
374,5.06
375,4.93
376,4.8
377,4.48
378,4.33
379,3.84
380,3.85
381,3.57
382,3.01
383,2.72
384,2.74
385,2.65
386,2.58
387,2.44
388,2.01
389,1.84
390,1.65
391,1.29
392,0.91
393,0.7
394,0.9
395,1.54
396,1.96
397,2.28
398,2.45
399,2.39
400,1.78
401,0.68
402,0.53
403,-0.02
404,-0.41
405,-1.11
406,-1.39
407,-1.48
408,-2.04
409,-2.67
410,-3
411,-2.92
412,-2.92
413,-3.01
414,-3.07
415,-3.12
416,-3.2
417,-2.9
418,-1.33
419,0.18
420,1.07
421,1.63
422,1.85
423,1.5
424,0.36
425,-1.07
426,-2.43
427,-3.42
428,-4.17
429,-4.55
430,-4.75
431,-4.62
432,-4.15
433,-3.58
434,-3.31
435,-3.05
436,-2.79
437,-2.6
438,-2.42
439,-2.23
440,-1.42
441,-1.1
442,-0.67
443,-0.19
444,0.24
445,0.33
446,0.09
447,-0.15
448,-0.49
449,-1
450,-1.21
451,-1.45
452,-0.86
453,-0.69
454,-0.64
455,-0.61
456,-0.87
457,-0.98
458,-0.76
459,-0.88
460,-1.06
461,-1.59
462,-1.97
463,-2.63
464,-2.6
465,-2.9
466,-1.26
467,0.01
468,0.74
469,1.37
470,1.63
471,1.56
472,1.2
473,0.68
474,0.37
475,-0.13
476,-1.4
477,-2.49
478,-3.43
479,-4.22
480,-4.38
481,-4.19
482,-3.74
483,-3.25
484,-2.73
485,-2.71
486,-2.56
487,-2.55
488,-2.77
489,-2.58
490,-2.07
491,-1.56
492,-1.01
493,-0.69
494,-0.32
495,-0.03
496,-0.18
497,-0.31
498,-0.23
499,-0.23
500,-0.42
501,-0.55
502,-0.61
503,-0.62
504,-0.55
505,-0.44
506,-0.29
507,-0.23
508,-0.21
509,-0.25
510,-0.39
511,-0.39
512,-0.66
513,-0.65
514,-0.48
515,-0.07
516,0.15
517,0.37
518,0.39
519,0.42
520,0.23
521,-0.02
522,-0.15
523,-0.11
524,-0.45
525,-0.48
526,-0.57
527,-0.57
528,-0.51
529,-0.53
530,-0.95
531,-1.06
532,-1.11
533,-1.02
534,-1.03
535,-0.99
536,-0.94
537,-0.85
538,-0.62
539,-0.38
540,-0.25
541,0.09
542,0.28
543,0.36
544,0.2
545,0.04
546,0.03
547,-0.13
548,-0.3
549,-0.45
550,-0.49
551,-0.46
552,-0.51
553,-0.71
554,-0.76
555,-0.99
556,-1.03
557,-1.49
558,-1.49
559,-1.41
560,-1.88
561,-1.52
562,-1.17
563,-0.76
564,-0.27
565,0.18
566,0.35
567,0.38
568,0.19
569,-0.18
570,-0.88
571,-0.94
572,-1.94
573,-1.93
574,-1.91
575,-1.85
576,-1.92
577,-1.74
578,-1.94
579,-2.02
580,-2.36
581,-2.45
582,-2.87
583,-2.71
584,-2.81
585,-3.17
586,-2.44
587,-1.82
588,-1.38
589,-0.89
590,-0.77
591,-0.66
592,-0.87
593,-1.13
594,-1.46
595,-1.97
596,-2.34
597,-2.53
598,-2.72
599,-2.65
600,-3.07
601,-3.39
602,-3.55
603,-3.54
604,-4.06
605,-4.14
606,-4.09
607,-4.2
608,-4.35
609,-4.26
610,-3.62
611,-2.69
612,-1.95
613,-1.41
614,-1.01
615,-1.03
616,-1.16
617,-1.48
618,-1.8
619,-2.05
620,-2.33
621,-2.38
622,-2.32
623,-2.49
624,-2.51
625,-2.41
626,-2.22
627,-2.07
628,-1.99
629,-1.79
630,-1.63
