timestep,temperature,heat demand,demand_el,pv,collector_heat
1,13.46,1.297044507,104.04256,0,0
2,13.48,1.363902471,138.5923783,0,0
3,13.43,1.430760436,137.10923,0,0
4,13.12,1.644705921,147.7794467,0,0
5,12.74,2.226370211,146.20949,0,0
6,12.49,3.289411843,133.8314,0,0
7,12.25,4.165251175,118.103565,0,0
8,11.89,3.857704539,119.5938067,0,0
9,11.72,3.516728921,106.7319933,0,0
10,12.16,3.242611268,467.710565,0.020452632,7.854398117
11,12.62,3.001922596,444.264095,0.056231831,26.54724409
12,12.83,2.888264057,482.4786933,0.076194736,13.39159358
13,12.46,2.841463482,454.41142,0.047348142,54.71574606
14,12.59,2.841463482,320.603535,0.069993653,35.6391824
15,12.38,2.928378835,348.9226433,0.051042415,0
16,11.76,3.075466357,539.818655,0.016925345,0
17,11.07,3.222553878,627.188925,0,0
18,10.57,3.423127771,458.702095,0,0
19,10.47,3.510043125,639.7969533,0,0
20,10.71,3.516728921,465.5069067,0,0
21,10.07,3.342898214,649.1266733,0,0
22,9.26,2.874892464,390.6232917,0,0
23,9.37,1.925509371,160.1081283,0,0
24,10.16,1.444132028,131.921665,0,0
25,11.01,1.158642537,116.7594317,0,0
26,11.53,1.218366379,148.825855,0,0
27,11.62,1.278090221,181.9089433,0,0
28,11.4,1.469206516,141.7847517,0,0
29,11.19,1.988803942,135.0613433,0,0
30,10.9,2.938413032,134.0613767,0,0
31,10.76,3.720795364,124.753115,0,0
32,11.8,3.44606569,119.9451767,0,0
33,11.42,3.141474095,119.9119767,0,0
34,11.67,2.896606343,165.9804083,0.017687247,0
35,12,2.681600511,600.2799083,0.04408716,27.20406314
36,11.59,2.580069979,251.901825,0.068158883,33.10161341
37,11.36,2.53826329,420.21973,0.067052861,63.3194188
38,11.56,2.53826329,206.3364383,0.055625394,41.03281085
39,11.21,2.615904285,240.6442783,0.047384709,0
40,10.39,2.747296737,684.9353417,0.006099198,0
41,9.73,2.87868919,1123.193632,0,0
42,9.31,3.057860716,518.537185,0,0
43,8.85,3.135501711,502.2436983,0,0
44,8.62,3.141474095,332.793845,0,0
45,8.38,2.986192106,586.838475,0,0
46,8,2.568125211,664.993095,0,0
47,7.5,1.720046653,127.3413267,0,0
48,6.88,1.29003499,94.54296333,0,0
49,6.58,1.486856133,111.15079,0,0
50,6.51,1.563498202,133.3757883,0,0
51,6.49,1.640140271,146.5007533,0,0
52,6.32,1.885394891,135.136205,0,0
53,6.21,2.552180889,140.0766117,0,0
54,6.09,3.770789781,126.8852517,0,0
55,5.96,4.774800882,147.653815,0,0
56,5.71,4.422247366,154.4785067,0,0
57,5.63,4.031372815,95.52551833,0,0
58,5.79,3.717140333,551.5822533,0.017294844,0
59,6.08,3.441228886,804.2932633,0.047685492,2.277482417
60,6.26,3.310937369,620.35509,0.044529663,61.24334625
61,6.78,3.257287921,367.6700967,0.040959587,51.14121899
62,7.21,3.257287921,541.5115,0.059795666,29.57700453
63,7.3,3.35692261,231.402745,0.042816866,0
64,6.85,3.525535162,480.1121983,0.012965067,0
65,6.29,3.694147713,241.661085,0,0
66,6.24,3.924073919,367.7840467,0,0
67,6.28,4.023708608,714.185275,0,0
68,5.38,4.031372815,1241.913232,0,0
69,4.87,3.832103436,692.0315817,0,0
70,4.66,3.295608955,190.180535,0,0
71,4.82,2.207291579,164.9663917,0,0
72,4.85,1.655468685,128.6897733,0,0
73,5.05,1.525903105,123.3506133,0,0
74,4.93,1.604557904,131.9507217,0,0
75,5.28,1.683212703,148.1673567,0,0
76,5.43,1.934908061,154.0176667,0,0
77,5.43,2.619204814,151.10959,0,0
78,5.52,3.869816121,170.1529433,0,0
79,5.78,4.900193991,122.1069533,0,0
80,5.57,4.538381914,118.170555,0,0
81,5.73,4.137242438,117.8987117,0,0
82,6.19,3.814757762,415.7338317,0.005688753,0
83,6.78,3.531600484,401.412095,0.015053516,0
84,7.48,3.397887326,779.2283283,0.029699873,0
85,7.73,3.342828966,702.9082167,0.019780633,0
86,8.19,3.342828966,321.6199533,0.027430346,0
87,8.46,3.445080205,248.3356567,0.003799311,0
88,8.8,3.618120764,246.7685733,0,0
89,9.07,3.791161322,366.1626333,0,0
90,9.27,4.02712572,681.754035,0,0
91,9.41,4.129376958,731.26868,0,0
92,9.3,4.137242438,447.79701,0,0
93,9.49,3.93273996,637.3401583,0,0
94,9.34,3.382156366,331.6649217,0,0
95,8.78,2.265258217,129.101445,0,0
96,8.56,1.698943663,100.8797733,0,0
97,8.41,1.515198681,110.6008667,0,0
98,8.56,1.593301706,156.2339383,0,0
99,8.23,1.67140473,136.5426683,0,0
100,8.11,1.92133441,148.67614,0,0
101,8.17,2.600830725,147.859365,0,0
102,8.25,3.84266882,150.6463867,0,0
103,8.08,4.865818444,147.0187267,0,0
104,8.01,4.50654453,125.2025383,0,0
105,7.86,4.108219104,110.2739733,0,0
106,7.97,3.787996702,214.6406133,0.014312236,0
107,8.35,3.506825813,475.3037517,0.040668946,0
108,8.61,3.374050671,655.1031883,0.040130935,15.89681249
109,8.84,3.319378554,650.76981,0.049886802,60.52475306
110,8.75,3.319378554,170.3951267,0.035544986,34.76056659
111,8.38,3.420912486,431.619325,0.012578633,0
112,8.1,3.59273914,426.5106133,0.00309788,0
113,7.72,3.764565795,849.570485,0,0
114,7.64,3.998874869,330.02073,0,0
115,7.55,4.100408801,485.4292617,0,0
116,7.54,4.108219104,530.9787667,0,0
117,7.47,3.905151239,609.5746283,0,0
118,7.5,3.358430066,411.4912283,0,0
119,7.5,2.249367114,124.8815183,0,0
120,7.45,1.687025335,130.4748817,0,0
121,7.44,1.457390197,113.8259633,0,0
122,7.49,1.532513403,140.9507683,0,0
123,7.6,1.607636609,166.792255,0,0
124,7.83,1.848030868,184.7358967,0,0
125,8.04,2.501602761,131.5351317,0,0
126,8.23,3.696061737,103.3518917,0,0
127,8.29,4.680175736,101.1419,0,0
128,8.64,4.334608988,96.413605,0,0
129,8.85,3.951480638,76.59237167,0,0
130,9.09,3.643475493,139.2074967,0,0
131,9.17,3.373031951,541.7238617,0.026807328,4.480560248
132,9.3,3.245322501,782.9750583,0.059133676,0
133,9.25,3.192736257,568.58662,0.033768756,0
134,9.18,3.192736257,584.4526967,0.0216483,0
135,9.3,3.290396424,285.5140933,0.018706608,0
136,9.11,3.455667478,209.3153067,0.005026621,0
137,8.84,3.620938531,428.9053717,0,0
138,8.36,3.846308149,801.9770733,0,0
139,8.17,3.943968317,671.86696,0,0
140,8.4,3.951480638,611.7336783,0,0
141,8.28,3.756160302,468.0040483,0,0
142,8.19,3.23029786,229.97761,0,0
143,8.11,2.163548334,159.4235,0,0
144,8.16,1.62266125,125.826855,0,0
