,temp_air,ghi,dni,dhi,wind_speed
2023-01-01 00:00:00,0.0,13.46,6.76,0.0,0.0
2023-01-01 01:00:00,0.0,13.48,6.55,0.0,0.0
2023-01-01 02:00:00,0.0,13.43,6.34,0.0,0.0
2023-01-01 03:00:00,0.0,13.12,6.21,0.0,0.0
2023-01-01 04:00:00,0.0,12.74,6.41,0.0,0.0
2023-01-01 05:00:00,0.0,12.49,6.55,0.0,0.0
2023-01-01 06:00:00,0.0,12.25,6.41,0.0,0.0
2023-01-01 07:00:00,0.0,11.89,5.93,4.59,4.59
2023-01-01 08:00:00,0.0,11.72,5.86,31.64,31.64
2023-01-01 09:00:00,0.0,12.16,5.79,59.62,59.62
2023-01-01 10:00:00,2.75,12.62,5.66,80.56,83.31
2023-01-01 11:00:00,7.9,12.83,5.59,56.9,64.8
2023-01-01 12:00:00,33.05,12.46,5.31,93.97,127.02
2023-01-01 13:00:00,33.77,12.59,5.24,73.67,107.44
2023-01-01 14:00:00,20.03,12.38,4.83,30.72,50.75
2023-01-01 15:00:00,0.0,11.76,4.28,0.0,0.0
2023-01-01 16:00:00,0.0,11.07,3.66,0.0,0.0
2023-01-01 17:00:00,0.0,10.57,3.03,0.0,0.0
2023-01-01 18:00:00,0.0,10.47,2.62,0.0,0.0
2023-01-01 19:00:00,0.0,10.71,2.41,0.0,0.0
2023-01-01 20:00:00,0.0,10.07,2.28,0.0,0.0
2023-01-01 21:00:00,0.0,9.26,2.28,0.0,0.0
2023-01-01 22:00:00,0.0,9.37,2.62,0.0,0.0
2023-01-01 23:00:00,0.0,10.16,3.38,0.0,0.0
2023-01-02 00:00:00,0.0,11.01,4.14,0.0,0.0
2023-01-02 01:00:00,0.0,11.53,4.34,0.0,0.0
2023-01-02 02:00:00,0.0,11.62,3.93,0.0,0.0
2023-01-02 03:00:00,0.0,11.4,4.21,0.0,0.0
2023-01-02 04:00:00,0.0,11.19,4.28,0.0,0.0
2023-01-02 05:00:00,0.0,10.9,4.0,0.0,0.0
2023-01-02 06:00:00,0.0,10.76,4.21,0.0,0.0
2023-01-02 07:00:00,0.0,11.8,4.69,4.15,4.15
2023-01-02 08:00:00,0.0,11.42,4.34,29.35,29.35
2023-01-02 09:00:00,0.0,11.67,4.76,49.02,49.02
2023-01-02 10:00:00,8.77,12.0,5.45,76.0,84.77
2023-01-02 11:00:00,15.66,11.59,5.59,79.8,95.46
2023-01-02 12:00:00,53.46,11.36,5.52,91.1,144.56
2023-01-02 13:00:00,45.6,11.56,5.38,76.13,121.73
2023-01-02 14:00:00,70.51,11.21,4.9,33.26,103.77
2023-01-02 15:00:00,0.0,10.39,4.41,0.0,0.0
2023-01-02 16:00:00,0.0,9.73,4.07,0.0,0.0
2023-01-02 17:00:00,0.0,9.31,3.72,0.0,0.0
2023-01-02 18:00:00,0.0,8.85,3.59,0.0,0.0
2023-01-02 19:00:00,0.0,8.62,3.59,0.0,0.0
2023-01-02 20:00:00,0.0,8.38,3.79,0.0,0.0
2023-01-02 21:00:00,0.0,8.0,3.93,0.0,0.0
2023-01-02 22:00:00,0.0,7.5,3.86,0.0,0.0
2023-01-02 23:00:00,0.0,6.88,3.86,0.0,0.0
2023-01-03 00:00:00,0.0,6.58,3.72,0.0,0.0
2023-01-03 01:00:00,0.0,6.51,3.66,0.0,0.0
2023-01-03 02:00:00,0.0,6.49,3.38,0.0,0.0
2023-01-03 03:00:00,0.0,6.32,3.24,0.0,0.0
2023-01-03 04:00:00,0.0,6.21,3.17,0.0,0.0
2023-01-03 05:00:00,0.0,6.09,3.03,0.0,0.0
2023-01-03 06:00:00,0.0,5.96,2.97,0.0,0.0
2023-01-03 07:00:00,0.0,5.71,3.1,2.66,2.66
2023-01-03 08:00:00,0.0,5.63,3.1,29.83,29.83
2023-01-03 09:00:00,0.0,5.79,3.31,53.54,53.54
2023-01-03 10:00:00,12.96,6.08,3.52,55.84,68.8
2023-01-03 11:00:00,67.58,6.26,3.86,81.59,149.17
2023-01-03 12:00:00,48.97,6.78,3.86,93.17,142.14
2023-01-03 13:00:00,48.41,7.21,3.59,72.38,120.79
2023-01-03 14:00:00,35.97,7.3,2.76,30.74,66.71
2023-01-03 15:00:00,0.0,6.85,2.69,0.0,0.0
2023-01-03 16:00:00,0.0,6.29,2.76,0.0,0.0
2023-01-03 17:00:00,0.0,6.24,3.03,0.0,0.0
2023-01-03 18:00:00,0.0,6.28,3.31,0.0,0.0
2023-01-03 19:00:00,0.0,5.38,3.1,0.0,0.0
2023-01-03 20:00:00,0.0,4.87,3.03,0.0,0.0
2023-01-03 21:00:00,0.0,4.66,3.17,0.0,0.0
2023-01-03 22:00:00,0.0,4.82,3.45,0.0,0.0
2023-01-03 23:00:00,0.0,4.85,3.86,0.0,0.0
2023-01-04 00:00:00,0.0,5.05,4.14,0.0,0.0
2023-01-04 01:00:00,0.0,4.93,4.34,0.0,0.0
2023-01-04 02:00:00,0.0,5.28,4.83,0.0,0.0
2023-01-04 03:00:00,0.0,5.43,5.1,0.0,0.0
2023-01-04 04:00:00,0.0,5.43,5.31,0.0,0.0
2023-01-04 05:00:00,0.0,5.52,5.52,0.0,0.0
2023-01-04 06:00:00,0.0,5.78,5.93,0.0,0.0
2023-01-04 07:00:00,0.0,5.57,6.34,1.37,1.37
2023-01-04 08:00:00,0.0,5.73,6.69,13.09,13.09
2023-01-04 09:00:00,0.0,6.19,7.03,20.09,20.09
2023-01-04 10:00:00,0.01,6.78,7.03,35.5,35.51
