time,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,poa_diffuse,global
2023-01-01 00:30:00+00:00,0,0,0,0,13.46,6.76,0,0,0
2023-01-01 01:30:00+00:00,0,0,0,0,13.48,6.55,0,0,0
2023-01-01 02:30:00+00:00,0,0,0,0,13.43,6.34,0,0,0
2023-01-01 03:30:00+00:00,0,0,0,0,13.12,6.21,0,0,0
2023-01-01 04:30:00+00:00,0,0,0,0,12.74,6.41,0,0,0
2023-01-01 05:30:00+00:00,0,0,0,0,12.49,6.55,0,0,0
2023-01-01 06:30:00+00:00,0,0,0,0,12.25,6.41,0,0,0
2023-01-01 07:30:00+00:00,0,4.42,0.17,0.07,11.89,5.93,0,4.59,4.59
2023-01-01 08:30:00+00:00,0,30.49,1.15,6.66,11.72,5.86,0,31.64,31.64
2023-01-01 09:30:00+00:00,0,57.45,2.17,11.65,12.16,5.79,0,59.62,59.62
2023-01-01 10:30:00+00:00,2.75,77.28,3.28,14.67,12.62,5.66,0,80.56,83.31
2023-01-01 11:30:00+00:00,7.9,54.74,2.16,15.46,12.83,5.59,0,56.9,64.8
2023-01-01 12:30:00+00:00,33.05,90.42,3.55,13.93,12.46,5.31,0,93.97,127.02
2023-01-01 13:30:00+00:00,33.77,71.12,2.55,10.24,12.59,5.24,0,73.67,107.44
2023-01-01 14:30:00+00:00,20.03,29.73,0.99,4.69,12.38,4.83,0,30.72,50.75
2023-01-01 15:30:00+00:00,0,0,0,-2.33,11.76,4.28,0,0,0
2023-01-01 16:30:00+00:00,0,0,0,0,11.07,3.66,0,0,0
2023-01-01 17:30:00+00:00,0,0,0,0,10.57,3.03,0,0,0
2023-01-01 18:30:00+00:00,0,0,0,0,10.47,2.62,0,0,0
2023-01-01 19:30:00+00:00,0,0,0,0,10.71,2.41,0,0,0
2023-01-01 20:30:00+00:00,0,0,0,0,10.07,2.28,0,0,0
2023-01-01 21:30:00+00:00,0,0,0,0,9.26,2.28,0,0,0
2023-01-01 22:30:00+00:00,0,0,0,0,9.37,2.62,0,0,0
2023-01-01 23:30:00+00:00,0,0,0,0,10.16,3.38,0,0,0
2023-01-02 00:30:00+00:00,0,0,0,0,11.01,4.14,0,0,0
2023-01-02 01:30:00+00:00,0,0,0,0,11.53,4.34,0,0,0
2023-01-02 02:30:00+00:00,0,0,0,0,11.62,3.93,0,0,0
2023-01-02 03:30:00+00:00,0,0,0,0,11.4,4.21,0,0,0
2023-01-02 04:30:00+00:00,0,0,0,0,11.19,4.28,0,0,0
2023-01-02 05:30:00+00:00,0,0,0,0,10.9,4,0,0,0
2023-01-02 06:30:00+00:00,0,0,0,0,10.76,4.21,0,0,0
2023-01-02 07:30:00+00:00,0,4,0.15,0.09,11.8,4.69,0,4.15,4.15
2023-01-02 08:30:00+00:00,0,28.28,1.07,6.7,11.42,4.34,0,29.35,29.35
2023-01-02 09:30:00+00:00,0,47.24,1.78,11.7,11.67,4.76,0,49.02,49.02
2023-01-02 10:30:00+00:00,8.77,71.5,4.5,14.74,12,5.45,0,76,84.77
2023-01-02 11:30:00+00:00,15.66,76.63,3.17,15.55,11.59,5.59,0,79.8,95.46
2023-01-02 12:30:00+00:00,53.46,87.35,3.75,14.04,11.36,5.52,0,91.1,144.56
2023-01-02 13:30:00+00:00,45.6,73.45,2.68,10.36,11.56,5.38,0,76.13,121.73
2023-01-02 14:30:00+00:00,70.51,32.18,1.08,4.81,11.21,4.9,0,33.26,103.77
2023-01-02 15:30:00+00:00,0,0,0,-2.2,10.39,4.41,0,0,0
2023-01-02 16:30:00+00:00,0,0,0,0,9.73,4.07,0,0,0
2023-01-02 17:30:00+00:00,0,0,0,0,9.31,3.72,0,0,0
2023-01-02 18:30:00+00:00,0,0,0,0,8.85,3.59,0,0,0
2023-01-02 19:30:00+00:00,0,0,0,0,8.62,3.59,0,0,0
